,MEAS_DT,Ni_1.1C_min,Ni_1.1C_max,Cu_1.1C_min,Cu_1.1C_max,Ni_1.2C_min,Ni_1.2C_max,Cu_1.2C_min,Cu_1.2C_max,Cu_2.1T_min,Cu_2.1T_max,Cu_2.2T_min,Cu_2.2T_max,Cu_3.1T_min,Cu_3.1T_max,Cu_3.2T_min,Cu_3.2T_max,Ni_4.1T_min,Ni_4.1T_max,Ni_4.1C_min,Ni_4.1C_max,Ni_4.2T_min,Ni_4.2T_max,Ni_4.2C_min,Ni_4.2C_max,Ni_5.1T_min,Ni_5.1T_max,Ni_5.1C_min,Ni_5.1C_max,Ni_5.2T_min,Ni_5.2T_max,Ni_5.2C_min,Ni_5.2C_max,Ni_6.1T_min,Ni_6.1T_max,Ni_6.1C_min,Ni_6.1C_max,Ni_6.2T_min,Ni_6.2T_max,Ni_6.2C_min,Ni_6.2C_max
5,2024-01-19 12:00:00,2.5,3.0,4.2,4.9,2.8,3.2,4.4,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.4,0.67,0.7,4.0,4.8,0.65,0.7,3.5,4.3,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.4,1.6,9.2,9.8
6,2024-01-19 12:15:00,2.5,3.0,4.4,4.9,2.8,3.2,4.4,5.2,0.23,0.42,0.35,0.42,0.8,1.4,0.9,1.5,0.67,0.7,4.0,4.8,0.65,0.7,3.5,4.3,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.4,1.6,9.2,9.8
7,2024-01-19 12:30:00,2.7,3.0,4.2,4.9,2.8,3.2,4.4,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.67,0.7,4.0,4.8,0.65,0.8,3.5,4.3,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
8,2024-01-19 12:45:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
9,2024-01-19 13:00:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
10,2024-01-19 13:15:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
11,2024-01-19 13:30:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
12,2024-01-19 13:45:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
13,2024-01-19 14:00:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
14,2024-01-19 14:15:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
15,2024-01-19 14:30:00,2.7,3.0,4.4,4.9,2.8,3.2,4.65,5.2,0.34,0.45,0.34,0.42,0.8,1.4,1.0,1.45,0.6100000000000001,0.75,4.0,5.0,0.65,0.8,3.5,4.6,0.65,0.7,6.1,6.5,0.55,0.75,6.0,6.8,1.1,1.35,9.3,9.0,1.0,1.25,8.8,9.0
16,2024-01-19 14:45:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
17,2024-01-19 15:00:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
18,2024-01-19 15:15:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
19,2024-01-19 15:30:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
20,2024-01-19 15:45:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
21,2024-01-19 16:00:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
22,2024-01-19 16:15:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
23,2024-01-19 16:30:00,2.5,3.0,4.4,4.9,2.8,3.2,4.7,5.2,0.23,0.42,0.35,0.42,0.8,1.8,0.9,1.7,0.55,0.8,4.0,5.2,0.65,0.8,3.5,4.7,0.55,0.7,6.1,6.8,0.55,0.75,6.0,6.8,1.1,1.35,8.6,9.0,1.4,1.6,9.2,9.8
